"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Max time (ms)","Last change","Prevent Suspend Time"
"SensorService_wakelock","55262","55262","0","0","0","0","0","123405522","0"
"sensor_ind  ","71300","71300","0","0","0","0","0","123405521","0"
"SMD_TTY_APPS_RIVA_BT_ACL_RA","0","0","0","0","0","0","0","47775","0"
"APPS_RIVA_BT_ACL","0","0","0","0","0","0","0","47775","0"
"SMD_TTY_APPS_RIVA_BT_CMD_RA","3232","3232","0","0","0","0","0","131543016","0"
"APPS_RIVA_BT_CMD","361","3232","0","361","0","0","0","131543510","0"
"ipc000000db_sensors.qcom","3525493","3590945","0","0","0","0","0","132085353","0"
"ipc000000da_FLP Service Cal","1","1","0","0","0","0","0","28519","0"
"ipc000000d9_fdal-loc-api","3","5","0","0","0","0","0","27297","0"
"eventpoll   ","1","1","0","0","0","0","0","3627251","0"
"ipc000000d8_Thread-148","0","0","0","0","0","0","0","26572","0"
"ipc000000d7_Thread-148","0","0","0","0","0","0","0","26563","0"
"ipc000000d6_Thread-148","898","898","0","0","0","0","0","131949327","0"
"ipc000000d5_sensors.qcom","1","1","0","0","0","0","0","25827","0"
"ipc000000d4_FLP Service Cal","12016","13606","0","0","0","0","0","124621464","0"
"ipc000000d3_system_server","8","9","0","0","0","0","0","25791","0"
"ipc000000d2_system_server","0","0","0","0","0","0","0","25764","0"
"ipc000000d1_system_server","898","898","0","0","0","0","0","131949327","0"
"ipc000000d0_sensors.qcom","13427","13427","0","0","0","0","0","132078567","0"
"PowerManagerService.WakeLocks","17734","17734","0","0","0","29","1","132071401","0"
"ipc000000cf_wpa_supplicant","0","0","0","0","0","0","0","23503","0"
"ipc000000ce_wpa_supplicant","2","2","0","0","0","0","0","23503","0"
"ipc000000cd_wpa_supplicant","2","2","0","0","0","0","0","23504","0"
"ipc000000cc_wpa_supplicant","2","2","0","0","0","0","0","23495","0"
"ipc000000cb_wpa_supplicant","0","0","0","0","0","0","0","23207","0"
"ipc000000ca_wpa_supplicant","2","2","0","0","0","0","0","23207","0"
"ipc000000c9_wpa_supplicant","2","2","0","0","0","0","0","23209","0"
"ipc000000c8_wpa_supplicant","2","2","0","0","0","0","0","23200","0"
"ipc000000c7_wpa_supplicant","898","898","0","0","0","0","0","131949327","0"
"ipc000000c6_wpa_supplicant","0","0","0","0","0","0","0","23183","0"
"qcom_sap_wakelock","0","0","0","0","0","0","0","22859","0"
"qcom_rx_wakelock","33206","208941","0","33206","0","2","0","39260260","0"
"wlan        ","14867","14967","0","7383","0","11","0","130140500","0"
"ipc000000c5_qti","0","0","0","0","0","0","0","19537","0"
"ipc000000c4_qti","898","898","0","0","0","0","0","131949327","0"
"ipc000000c3_qti","0","0","0","0","0","0","0","19537","0"
"TrimTask    ","1","1","0","0","0","0","0","21307","0"
"event1      ","0","0","0","0","0","0","0","18830","0"
"event3      ","0","0","0","0","0","0","0","18825","0"
"event0      ","0","0","0","0","0","0","0","18807","0"
"event2      ","0","0","0","0","0","0","0","18802","0"
"event4      ","0","0","0","0","0","0","0","18798","0"
"event5      ","0","0","0","0","0","0","0","18798","0"
"eventpoll   ","0","0","0","0","0","0","0","18798","0"
"KeyEvents   ","8759","8759","0","0","0","0","0","132079103","0"
"[timerfd]   ","2","2","0","0","0","0","0","1540480","0"
"[timerfd]   ","0","0","0","0","0","0","0","18715","0"
"[timerfd]   ","0","0","0","0","0","0","0","18715","0"
"[timerfd]   ","5073","5073","0","0","0","0","0","132059511","0"
"[timerfd]   ","1384","1384","0","0","0","0","0","132033745","0"
"[timerfd]   ","0","0","0","0","0","0","0","18715","0"
"[timerfd]   ","0","0","0","0","0","0","0","18715","0"
"eventpoll   ","6440","6459","0","0","0","0","0","132059511","0"
"ipc000000c2_sensors.qcom","1","1","0","0","0","0","0","18668","0"
"ipc000000c1_sensors.qcom","272","272","0","0","0","0","0","123405703","0"
"ipc000000c0_sensors.qcom","1","1","0","0","0","0","0","18663","0"
"ipc000000bf_sensors.qcom","1","1","0","0","0","0","0","18662","0"
"ipc000000be_sensors.qcom","1","1","0","0","0","0","0","18660","0"
"ipc000000bd_sensors.qcom","1","1","0","0","0","0","0","18658","0"
"ipc000000bc_sensors.qcom","1","1","0","0","0","0","0","18656","0"
"ipc000000bb_sensors.qcom","1","1","0","0","0","0","0","18654","0"
"ipc000000ba_sensors.qcom","1","1","0","0","0","0","0","18651","0"
"ipc000000b9_sensors.qcom","1","1","0","0","0","0","0","18649","0"
"ipc000000b8_sensors.qcom","1","1","0","0","0","0","0","18647","0"
"ipc000000b7_sensors.qcom","1","1","0","0","0","0","0","18645","0"
"ipc000000b6_sensors.qcom","1","1","0","0","0","0","0","18644","0"
"ipc000000b5_sensors.qcom","3","3","0","0","0","0","0","24909","0"
"ipc000000b4_sensors.qcom","1","1","0","0","0","0","0","18640","0"
"ipc000000b3_sensors.qcom","1","1","0","0","0","0","0","18638","0"
"ipc000000b2_sensors.qcom","24315","24331","0","0","0","0","0","121256575","0"
"ipc000000b1_sensors.qcom","1","1","0","0","0","0","0","18635","0"
"ipc000000b0_sensors.qcom","7856","7869","0","0","0","0","0","112216214","0"
"ipc000000af_sensors.qcom","1","1","0","0","0","0","0","18631","0"
"ipc000000ae_sensors.qcom","1","1","0","0","0","0","0","18629","0"
"ipc000000ad_sensors.qcom","1","1","0","0","0","0","0","18628","0"
"ipc000000ac_sensors.qcom","1","1","0","0","0","0","0","18627","0"
"ipc000000ab_sensors.qcom","1","1","0","0","0","0","0","18625","0"
"ipc000000aa_sensors.qcom","708","708","0","0","0","0","0","32625381","0"
"ipc000000a9_sensors.qcom","1","1","0","0","0","0","0","18623","0"
"ipc000000a8_sensors.qcom","46912","46942","0","0","0","0","0","123563748","0"
"ipc000000a6_sensors.qcom","6","6","0","0","0","0","0","18671","0"
"ipc000000a4_netmgrd","5","5","0","0","0","0","0","15691","0"
"ipc000000a3_netmgrd","5","5","0","0","0","0","0","15683","0"
"ipc000000a2_netmgrd","4","4","0","0","0","0","0","15676","0"
"ipc000000a1_netmgrd","4","4","0","0","0","0","0","15671","0"
"ipc000000a0_netmgrd","5","5","0","0","0","0","0","15548","0"
"ipc0000009f_netmgrd","5","5","0","0","0","0","0","15545","0"
"ipc0000009e_netmgrd","4","4","0","0","0","0","0","15541","0"
"ipc0000009d_netmgrd","4","4","0","0","0","0","0","15538","0"
"ipc0000009c_netmgrd","5","5","0","0","0","0","0","15418","0"
"ipc0000009b_netmgrd","5","5","0","0","0","0","0","15411","0"
"ipc0000009a_netmgrd","4","4","0","0","0","0","0","15404","0"
"ipc00000099_netmgrd","4","4","0","0","0","0","0","15401","0"
"ipc00000098_netmgrd","5","5","0","0","0","0","0","15283","0"
"ipc00000097_netmgrd","5","5","0","0","0","0","0","15276","0"
"ipc00000096_netmgrd","4","4","0","0","0","0","0","15268","0"
"ipc00000095_netmgrd","4","4","0","0","0","0","0","15262","0"
"ipc00000094_netmgrd","5","5","0","0","0","0","0","15142","0"
"ipc00000093_netmgrd","5","5","0","0","0","0","0","15134","0"
"ipc00000092_netmgrd","4","4","0","0","0","0","0","15127","0"
"ipc00000091_netmgrd","4","4","0","0","0","0","0","15124","0"
"ipc00000090_netmgrd","5","5","0","0","0","0","0","15009","0"
"ipc0000008f_netmgrd","5","5","0","0","0","0","0","15002","0"
"ipc0000008e_netmgrd","4","4","0","0","0","0","0","14994","0"
"ipc0000008d_netmgrd","4","4","0","0","0","0","0","14992","0"
"ipc0000008c_netmgrd","5","5","0","0","0","0","0","14874","0"
"ipc0000008b_netmgrd","5","5","0","0","0","0","0","14867","0"
"ipc0000008a_netmgrd","4","4","0","0","0","0","0","14860","0"
"ipc00000089_netmgrd","4","4","0","0","0","0","0","14857","0"
"PowerManagerService.Display","1","1","0","0","132","132","132","14134","0"
"ipc00000086_netmgrd","5","5","0","0","0","0","0","13737","0"
"ipc00000085_netmgrd","5","5","0","0","0","0","0","13734","0"
"ipc00000084_netmgrd","4","4","0","0","0","0","0","13730","0"
"ipc00000083_netmgrd","4","4","0","0","0","0","0","13727","0"
"wcnss_IPCRTR","3","4","0","0","0","0","0","12844","0"
"ipc00000082_imsqmidaemon","2","2","0","0","0","0","0","12518","0"
"ipc00000081_imsqmidaemon","0","0","0","0","0","0","0","12514","0"
"ipc00000080_imsqmidaemon","901","901","0","0","0","0","0","131949327","0"
"ipc0000007f_ims_rtp_daemon","902","902","0","0","0","0","0","131949327","0"
"ipc0000007e_ims_rtp_daemon","1","1","0","0","0","0","0","12505","0"
"ipc0000007d_cnd","1","1","0","0","0","0","0","12377","0"
"ipc0000007c_cnd","219","219","0","0","0","0","0","39264878","0"
"ipc0000007b_mdtpd","1","1","0","0","0","0","0","12284","0"
"ipc0000007a_mdtpd","902","902","0","0","0","0","0","131949327","0"
"ipc00000079_rild","2","2","0","0","0","0","0","12260","0"
"ipc00000078_rild","8","8","0","0","0","0","0","12256","0"
"ipc00000077_rild","11","11","0","0","0","0","0","86823093","0"
"ipc00000076_rild","3","3","0","0","0","0","0","12248","0"
"ipc00000075_rild","1","1","0","0","0","0","0","12236","0"
"ipc00000074_rild","0","0","0","0","0","0","0","12222","0"
"ipc00000073_rild","3","3","0","0","0","0","0","12222","0"
"ipc00000072_rild","5","5","0","0","0","0","0","13226","0"
"ipc00000071_rild","3","3","0","0","0","0","0","12213","0"
"ipc00000070_rild","3","5","0","0","0","0","0","27965","0"
"wcnss       ","1","1","0","0","0","0","0","12831","0"
"ipc0000006e_wcnss_service","902","902","0","0","0","0","0","131949327","0"
"ipc0000006d_rild","2","2","0","0","0","0","0","12165","0"
"ipc0000006c_rild","0","0","0","0","0","0","0","12164","0"
"ipc0000006b_rild","1","1","0","0","0","0","0","12210","0"
"ipc0000006a_thermal-engine","5","5","0","0","0","0","0","12164","0"
"ipc00000068_rild","8","8","0","0","0","0","0","28816","0"
"ipc00000067_rild","0","0","0","0","0","0","0","12159","0"
"ipc00000066_rild","9","9","0","0","0","0","0","27954","0"
"ipc00000065_rild","931","931","0","0","0","0","0","129682892","0"
"ipc00000064_rild","20","20","0","0","0","0","0","28631","0"
"ipc00000063_rild","20","20","0","0","0","0","0","28760","0"
"ipc00000062_rild","901","902","0","0","0","0","0","131949327","0"
"ipc00000061_rild","2","2","0","0","0","0","0","12076","0"
"ipc00000060_rild","8","8","0","0","0","0","0","12072","0"
"ipc0000005f_rild","15","15","0","0","0","0","0","86823093","0"
"ipc0000005e_rild","3","3","0","0","0","0","0","12065","0"
"ipc0000005d_rild","1","1","0","0","0","0","0","12056","0"
"ipc0000005c_rild","0","0","0","0","0","0","0","12032","0"
"ipc0000005b_rild","3","3","0","0","0","0","0","12032","0"
"ipc0000005a_rild","5","5","0","0","0","0","0","13226","0"
"ipc00000059_rild","11","16","0","0","0","0","0","12028","0"
"ipc00000058_rild","4","5","0","0","0","0","0","31488","0"
"ipc00000057_rild","5","5","0","0","0","0","0","27964","0"
"qcril       ","9551","9558","0","0","0","0","0","132061790","0"
"ipc00000056_rild","291","400","0","0","0","0","0","124574283","0"
"ipc00000055_rild","2","2","0","0","0","0","0","11884","0"
"ipc00000054_rild","0","0","0","0","0","0","0","11882","0"
"ipc00000053_rild","1","1","0","0","0","0","0","11965","0"
"ipc00000052_rild","8","8","0","0","0","0","0","28825","0"
"ipc00000051_rild","0","0","0","0","0","0","0","11878","0"
"ipc00000050_rild","9","9","0","0","0","0","0","27954","0"
"ipc0000004f_rild","10708","10713","0","0","0","0","0","132061789","0"
"ipc0000004e_rild","19","21","0","0","0","0","0","28336","0"
"ipc0000004d_rild","25","25","0","0","0","0","0","31486","0"
"ipc0000004c_rild","902","902","0","0","0","0","0","131949327","0"
"ipc0000004b_netmgrd","2","2","0","0","0","0","0","11840","0"
"ipc00000049_Loc_hal_worker","8","9","0","0","0","0","0","11661","0"
"video2      ","57","57","0","0","0","0","0","115694367","0"
"video1      ","12","12","0","0","0","0","0","91550677","0"
"ipc00000047_time_daemon","3","5","0","0","0","0","0","48240719","0"
"tftp_server_wakelock","1","1","0","0","0","0","0","11331","0"
"rmt_storage_548170572880","450","450","0","0","0","0","0","131851987","0"
"rmt_storage_548171637840","451","451","0","0","0","0","0","131949325","0"
"ipc00000045_rild","0","0","0","0","0","0","0","10872","0"
"modem_IPCRTR","27547","29291","0","0","0","0","0","132061789","0"
"ipc00000044_netmgrd","0","0","0","0","0","0","0","10836","0"
"ipc00000043_netmgrd","944","945","0","0","0","0","0","131949327","0"
"ipc00000042_cnd","0","0","0","0","0","0","0","10369","0"
"ipc00000041_cnd","944","945","0","0","0","0","0","131949327","0"
"ipc00000040_rild","0","0","0","0","0","0","0","10154","0"
"radio-interface","58","140","0","0","0","0","0","128071127","0"
"qcril_pre_client_init","1","1","0","0","0","0","0","11876","0"
"ipc0000003f_fdal-loc-api","0","0","0","0","0","0","0","9730","0"
"ipc0000003e_fdal-loc-api","945","945","0","0","0","0","0","131949327","0"
"ipc0000003d_Loc_hal_worker","0","0","0","0","0","0","0","9625","0"
"ipc0000003c_Loc_hal_worker","943","945","0","0","0","0","0","131949327","0"
"ipc0000003b_slim_daemon","945","946","0","0","0","0","0","131949327","0"
"ipc0000003a_slim_daemon","1","1","0","0","0","0","0","11547","0"
"ipc00000039_imsdatadaemon","944","947","0","0","0","0","0","131949327","0"
"ipc00000038_imsdatadaemon","1","1","0","0","0","0","0","11742","0"
"ipc00000037_qmuxd","947","947","0","0","0","0","0","131949327","0"
"ipc00000036_qmuxd","0","0","0","0","0","0","0","9507","0"
"ipc00000035_mdtpd","0","0","0","0","0","0","0","9273","0"
"ipc00000034_tftp_server","0","0","0","0","0","0","0","9201","0"
"ipc00000033_tftp_server","0","0","0","0","0","0","0","9200","0"
"ipc00000032_tftp_server","0","0","0","0","0","0","0","9199","0"
"ipc00000031_tftp_server","0","0","0","0","0","0","0","9199","0"
"ipc00000030_tftp_server","0","0","0","0","0","0","0","9198","0"
"ipc0000002f_tftp_server","1","1","0","0","0","0","0","11054","0"
"ipc0000002d_time_daemon","0","0","0","0","0","0","0","9191","0"
"ipc0000002c_time_daemon","947","953","0","0","0","0","0","131949327","0"
"HVDCPD_WL   ","79","79","0","0","0","0","0","132008933","0"
"ipc0000002a_wcnss_service","0","0","0","0","0","0","0","9175","0"
"ipc00000029_cnss-daemon","0","0","0","0","0","0","0","9171","0"
"ipc00000028_cnss-daemon","952","953","0","0","0","0","0","131949327","0"
"NETLINK     ","111585","111585","0","0","0","0","0","132070532","0"
"[timerfd]   ","0","0","0","0","0","0","0","9156","0"
"eventpoll   ","111585","111599","0","0","0","0","0","132070532","0"
"ipc00000027_thermal-engine","0","0","0","0","0","0","0","9156","0"
"ipc00000026_thermal-engine","953","953","0","0","0","0","0","131949327","0"
"ipc00000025_sensors.qcom","0","0","0","0","0","0","0","7574","0"
"ipc00000024_sensors.qcom","1","1","0","0","0","0","0","67572","0"
"ipc00000023_sensors.qcom","1","1","0","0","0","0","0","7570","0"
"NETLINK     ","111593","111593","0","0","0","0","0","132070532","0"
"[timerfd]   ","440","440","0","0","0","0","0","132006251","0"
"ipc00000022_sensors.qcom","969","974","0","0","0","0","0","131949327","0"
"ipc00000021_sensors.qcom","0","0","0","0","0","0","0","5541","0"
"ipc00000020_sensors.qcom","974","975","0","0","0","0","0","131949327","0"
"ipc0000001f_sensors.qcom","0","0","0","0","0","0","0","5540","0"
"ipc0000001e_sensors.qcom","5","5","0","0","0","0","0","5540","0"
"ipc0000001d_sensors.qcom","4","6","0","0","0","0","0","5532","0"
"ipc0000001c_sensors.qcom","0","0","0","0","0","0","0","5453","0"
"ipc0000001b_sensors.qcom","980","980","0","0","0","0","0","131949327","0"
"ipc0000001a_sensors.qcom","980","981","0","0","0","0","0","131949327","0"
"ipc00000019_sensors.qcom","293","293","0","0","0","0","0","126062953","0"
"ipc00000018_sensors.qcom","981","982","0","0","0","0","0","131949327","0"
"ipc00000017_sensors.qcom","328","366","0","0","0","0","0","132069626","0"
"ipc00000016_pm-service","982","983","0","0","0","0","0","131949327","0"
"ipc00000015_pm-service","0","0","0","0","0","0","0","5340","0"
"ipc00000014_rmt_storage","983","984","0","0","0","0","0","131949327","0"
"ipc00000013_rmt_storage","906","906","0","0","0","0","0","131949210","0"
"binder      ","202","202","0","0","0","0","0","131543379","0"
"eventpoll   ","112235","112255","0","0","0","0","0","132070532","0"
"msm8x16_wcd_codec-1","1","1","0","0","0","0","0","28207","0"
"adsp_IPCRTR ","3603647","3672098","0","0","0","0","0","132085353","0"
"flashlight_led_lock_wt","0","0","0","0","0","0","0","3246","0"
"bcl         ","1","1","0","0","0","0","0","3237","0"
"bam_dmux_wakelock","1","1","0","0","0","0","0","14841","0"
"msm_hsusb_host","0","0","0","0","0","0","0","3111","0"
"ssr(modem)  ","0","0","0","0","0","0","0","3110","0"
"pil-modem   ","1","1","0","0","0","0","0","10870","0"
"ssr(wcnss)  ","0","0","0","0","0","0","0","3108","0"
"pil-wcnss   ","1","1","0","0","0","0","0","12870","0"
"ssr(adsp)   ","0","0","0","0","0","0","0","3106","0"
"pil-adsp    ","1","1","0","0","0","0","0","4929","0"
"ipc00000011_kworker/u16:3","983","989","0","0","0","0","0","131949327","0"
"ipc00000010_kworker/u16:3","0","0","0","0","0","0","0","3102","0"
"ipc0000000f_kworker/u16:3","0","0","0","0","0","0","0","3102","0"
"ipc0000000e_kworker/u16:3","0","0","0","0","0","0","0","3102","0"
"ipc0000000d_kworker/u16:3","0","0","0","0","0","0","0","3101","0"
"ipc0000000c_kworker/u16:3","0","0","0","0","0","0","0","3101","0"
"ipc0000000b_kworker/u16:3","0","0","0","0","0","0","0","3101","0"
"ipc0000000a_kworker/u16:3","0","0","0","0","0","0","0","3101","0"
"ipc00000009_kworker/u16:3","0","0","0","0","0","0","0","3100","0"
"ipc00000008_kworker/u16:3","0","0","0","0","0","0","0","3100","0"
"ipc00000007_kworker/u16:3","0","0","0","0","0","0","0","3100","0"
"ipc00000006_kworker/u16:3","0","0","0","0","0","0","0","3100","0"
"ipc00000005_kworker/u16:3","0","0","0","0","0","0","0","3099","0"
"spkr-prot   ","0","0","0","0","0","0","0","3092","0"
"fpc_ttw_wl  ","0","0","0","0","0","0","0","3069","0"
"goodix_ttw_wl","1","10","0","1","0","0","0","8410","0"
"qpnp-vadc-14","0","0","0","0","0","0","0","2946","0"
"qpnp-vadc-10","0","0","0","0","0","0","0","2945","0"
"battery     ","74","79","0","0","0","0","0","132008928","0"
"qpnp-smbcharger-17","0","0","0","0","0","0","0","2920","0"
"bms         ","9","9","0","0","0","0","0","96854509","0"
"qpnp_fg_esr_extract","0","0","0","0","0","0","0","2917","0"
"qpnp_fg_cap_learning","0","0","0","0","0","0","0","2917","0"
"qpnp_fg_gain_comp","0","0","0","0","0","0","0","2917","0"
"qpnp_fg_set_resume_soc","6","6","0","0","0","0","0","1369742","0"
"qpnp_fg_update_sram","4394","4394","0","0","0","0","0","132075283","0"
"qpnp_fg_update_temp","13182","13182","0","0","0","0","0","132079140","0"
"qpnp_fg_profile","2","2","0","0","0","0","0","4938","0"
"qpnp_fg_memaccess","52829","52829","0","0","0","0","0","132079140","0"
"qpnp_fg_empty_check","0","0","0","0","0","0","0","2917","0"
"qpnp-rtc-7  ","1","1","0","0","0","0","0","1540475","0"
"usb         ","9","19","0","0","0","0","0","3222","0"
"78db000.usb ","0","0","0","0","0","0","0","981","0"
"msm_otg     ","1","1","0","0","132","132","132","981","0"
"ipc00000004_kworker/0:1","984","1002","0","0","0","0","0","131949327","0"
"ipc00000003_kworker/0:1","1","1","0","0","0","0","0","10975","0"
"msm_qcelp   ","0","0","0","0","0","0","0","875","0"
"msm_evrc    ","0","0","0","0","0","0","0","875","0"
"msm_amrwbplus","0","0","0","0","0","0","0","875","0"
"msm_amrwb   ","0","0","0","0","0","0","0","875","0"
"msm_amrnb   ","0","0","0","0","0","0","0","874","0"
"msm_mp3     ","0","0","0","0","0","0","0","874","0"
"msm_ape     ","0","0","0","0","0","0","0","874","0"
"msm_alac    ","0","0","0","0","0","0","0","874","0"
"msm_multi_aac","0","0","0","0","0","0","0","874","0"
"msm_aac     ","0","0","0","0","0","0","0","874","0"
"msm_wmapro  ","0","0","0","0","0","0","0","874","0"
"msm_wma     ","0","0","0","0","0","0","0","874","0"
"DIAG_WS     ","58","84","0","0","0","0","0","14009","0"
"smd_pkt_loopback","0","0","0","0","0","0","0","851","0"
"apr_apps2   ","0","0","0","0","0","0","0","851","0"
"smdcntl8    ","0","0","0","0","0","0","0","851","0"
"smd22       ","0","0","0","0","0","0","0","851","0"
"smdcntl0    ","0","0","0","0","0","0","0","850","0"
"SMDTTY_READ_IN_SUSPEND","0","0","0","0","0","0","0","850","0"
"ssr(venus)  ","0","0","0","0","0","0","0","846","0"
"pil-venus   ","9","9","0","0","0","0","0","116994890","0"
"ipc00000002_kworker/1:1","985","1003","0","0","0","0","0","131949327","0"
"ipc00000001_kworker/1:1","2","2","0","0","0","0","0","11587","0"
"alarmtimer  ","0","0","0","0","0","0","0","781","0"
"fg_adc      ","1","1","0","0","0","0","0","709","0"
"qpnp-power-on-4","0","0","0","0","0","0","0","634","0"
"smsm_snapshot","9","9","0","0","0","0","0","14841","0"
"autosleep   ","0","0","0","0","0","0","0","57","0"
